koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,label,koi_tce_delivname_q1_q17_dr24_tce,koi_tce_delivname_q1_q17_dr25_tce,depth_duration_ratio,insol_prad_ratio,stellar_luminosity_proxy
1,0,0,0,589.17968,0.04256,-0.04256,0.0431,0.4354,-0.043,185.0175,0.0518,-0.0518,10.2,2.3,-2.3,253.4,37.9,-37.9,4.91,2.18,-2.48,330.0,2.82,3.96,-2.24,7.7,5295.0,191.0,-211.0,3.617,0.477,-0.278,3.152,1.403,-1.594,291.72916,38.070019,13.439,0,False,False,24.843134819300513,0.5743379685666051,52606.375680000005
0,0,0,0,588.63759,0.01398,-0.01398,0.3978,0.0902,-0.3978,246.525,0.0173,-0.0173,3.84,0.812,-0.812,322.1,81.1,-81.1,1.52,2.14,-0.16,185.0,0.28,1.55,-0.08,7.4,5135.0,167.0,-139.0,4.479,0.087,-0.711,0.849,1.2,-0.089,285.33615,49.190769,13.714,0,False,False,83.88018648953478,0.1842104051247335,3701.3131349999994
1,0,0,0,588.10504,0.02914,-0.02914,0.3168,0.1449,-0.3167,289.5538,0.0244,-0.0244,15.474,0.933,-0.933,326.6,36.7,-36.7,1.77,0.7,-0.19,231.0,0.67,0.78,-0.2,11.0,6214.0,166.0,-197.0,4.457,0.061,-0.286,0.965,0.383,-0.1,290.47375,41.627548,14.514,0,False,False,21.106370614813844,0.378530859587085,5786.6321499999995
1,0,0,0,586.91711807,2.154e-05,-2.154e-05,0.586,0.177,-0.184,275.4739232,0.00307,-0.00307,5.32,0.109,-0.109,501.5,19.6,-19.6,2.62,0.56,-0.34,933.0,180.465,92.7,-51.705,30.5,5774.0,157.0,-160.0,4.438,0.071,-0.128,1.0,0.246,-0.111,289.95306,40.011101,15.58,0,False,False,94.26689957389105,68.87974470238751,5774.0
1,0,0,0,586.63177,0.01421,-0.01421,0.0345,0.425,-0.0345,227.5013,0.0195,-0.0195,7.299,0.65,-0.65,199.9,29.5,-29.5,1.18,0.85,-0.13,189.0,0.3,0.73,-0.08,8.4,5228.0,175.0,-136.0,4.471,0.093,-0.497,0.854,0.616,-0.094,286.38165,44.879082,13.416,0,False,False,27.387309578392987,0.25423707268044693,3812.864048
1,0,0,0,583.73632,0.0504,-0.0504,0.126,0.329,-0.126,174.6085,0.037,-0.037,15.75,1.9,-1.9,338.6,33.5,-33.5,2.65,0.46,-0.51,266.0,1.19,0.54,-0.46,11.4,6003.0,80.0,-80.0,4.176,0.162,-0.108,1.442,0.253,-0.278,285.80096,45.571739,14.495,0,False,True,21.498411333434202,0.44905643431832665,12482.422092
1,0,0,0,581.0723,0.01742,-0.01742,88.7243,12.25,-25.75,371.0249,0.0232,-0.0232,15.81,1.3,-1.3,1364.2,95.7,-95.7,161858.0,5884.0,-72650.0,639.0,39.36,6.71,-30.0,15.9,5026.0,109.0,-298.0,2.504,0.033,-0.033,16.891,0.614,-7.582,297.62296,46.75386,12.282,0,True,False,86.28715456754242,0.0002431761173359168,1433947.3579059998
1,0,0,0,575.95408,0.01448,-0.01448,0.0868,0.3788,-0.0867,188.4547,0.0169,-0.0169,8.618,0.73,-0.73,1210.0,132.0,-132.0,2.92,1.07,-0.27,194.0,0.33,0.38,-0.08,11.4,5398.0,174.0,-144.0,4.508,0.055,-0.238,0.854,0.314,-0.078,287.4462,45.794739,15.843,0,False,False,140.4037896955454,0.1130136599268288,3936.8477679999996
1,0,0,0,575.42002,0.0293,-0.0293,0.1538,0.2953,-0.1538,369.5923,0.0426,-0.0426,17.22,1.8,-1.8,401.7,43.0,-43.0,1.91,0.71,-0.23,225.0,0.61,0.68,-0.19,11.7,6025.0,165.0,-181.0,4.448,0.078,-0.268,0.949,0.356,-0.111,297.88852,42.993031,14.693,0,False,False,23.327524777727945,0.31937156053845,5426.1210249999995
1,0,0,0,574.69029,0.01424,-0.01424,0.004,0.4514,-0.004,392.483,0.0199,-0.0199,4.269,0.652,-0.652,276.8,45.1,-45.1,1.26,0.48,-0.11,191.0,0.31,0.36,-0.08,7.2,5503.0,176.0,-143.0,4.557,0.049,-0.221,0.764,0.291,-0.066,288.41675,42.7136,13.873,0,False,False,64.83952568762575,0.24603155076861052,3212.079088
